date,latitude,longitude,wind_speed,central_pressure,basin
2023-11-03 06:00:00,10.6000,-100.200, , ,EP
2023-01-04 06:00:00,-18.4000,123.400, , ,SI
2022-09-26 09:00:00,24.3824,142.068, , ,WP
2020-10-30 03:00:00,16.3527,132.150, , ,WP
2023-03-02 18:00:00,-21.3000,38.2000, , ,SI
2021-12-06 06:00:00,22.3000,88.5000, , ,NI
2023-02-12 21:00:00,-15.0275,97.3500, , ,SI
2022-04-27 15:00:00,-13.0301,106.780, , ,SI
2021-02-27 09:00:00,-15.5998,93.7462, , ,SI
2023-05-14 09:00:00,20.2169,92.7348, , ,NI
2023-09-18 00:00:00,13.2000,-111.700, , ,EP
2020-12-29 12:00:00,-19.6000,38.5000,52,983,SI
2023-08-17 09:00:00,12.1360,-154.535, , ,EP
2022-09-27 12:00:00,14.6000,-120.800,25,1008,EP
2020-07-29 06:00:00,14.8000,122.400, , ,WP
2022-08-07 03:00:00,15.7075,-108.008, , ,EP
2021-08-05 06:00:00,15.3000,-136.400,30,1006,EP
2022-02-28 12:00:00,-16.5000,124.200,25,998,SI
2023-08-04 09:00:00,27.2352,125.385, , ,WP
2020-07-31 00:00:00,16.2000,130.800, ,1008,WP
2022-07-01 12:00:00,19.6000,112.900, , ,WP
2020-09-22 21:00:00,18.8999,-117.643, , ,EP
2021-03-26 18:00:00,-10.2000,90.0000,20,1004,SI
2020-08-31 12:00:00,22.8000,145.982,35,1002,WP
2020-11-09 00:00:00,11.3000,131.467, ,1006,WP
2021-08-15 18:00:00,18.9000,-120.700,95,969,EP
2023-08-02 18:00:00,15.5000,245.100, , ,EP
2021-12-05 12:00:00,-7.60000,99.5000,15,1006,SI
2023-06-02 00:00:00,27.0000,129.600, , ,WP
2020-12-03 03:00:00,-7.22246,83.1549, , ,SI
2020-12-25 12:00:00,11.3000,97.0000, , ,NI
2023-02-27 09:00:00,-29.0725,67.2151, , ,SI
2023-10-23 18:00:00,12.6000,-97.5333, , ,EP
2021-11-29 15:00:00,12.2665,140.712, , ,WP
2022-03-11 06:00:00,-15.2000,40.1000, , ,SI
2023-05-20 18:00:00,6.10000,149.200, , ,WP
2021-02-19 03:00:00,-24.2037,37.0687, , ,SI
